Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,13,D03,M,00:17:28.72,0.220,D3
1,13,D04,M,00:17:29.61,0.226,A3
1,13,D05,M,00:17:30.49,0.224,A3
1,13,D06,M,00:17:31.39,0.230,A3
1,14,A01,M,00:18:09.98,0.077,GSH 0
1,14,A02,M,00:18:10.88,0.203,GSH 8
1,14,A03,M,00:18:11.77,0.348,GSH 16
1,14,A04,M,00:18:12.66,0.555,GSH 24
1,14,A05,M,00:18:13.55,0.778,GSH 32
1,14,A06,M,00:18:14.44,1.024,GSH 40
1,14,A07,M,00:18:15.33,0.255,PC 2
1,14,A08,M,00:18:16.22,0.117,PC 10
1,14,A09,M,00:18:17.10,0.246,PC 20
1,14,A10,M,00:18:17.99,0.298,A1
